firstName,lastName,phone,birthDate,mobile
mihai,sandu,0744556677,31.01.1111,true
mihai1,sandu1,0744556677,31.01.1111,true
mihai2,sandu2,0744556677,31.01.1111,true
mihai3,sandu3,0744556677,31.01.1111,true
mihai4,sandu4,0744556677,31.01.1111,true
mihai_5,sandu5,0744556677,31.01.1111,true
suricata,mecanica,0244556677,31.01.1111,false
suricata12,mecanica1,0244556677,31.01.1111,false
suricata2,mecanica2,0244556677,31.01.1111,false
suricata3,mecanica3,0244556677,31.01.1111,false
suricata4,mecanica4,0244556677,31.01.1111,false
suricata5,mecanica5,0244556677,31.01.1111,false
sss,sss,0744445533,01.01.2000,true
